submission_id,expected,experiment_duration,experiment_end_time,experiment_start_time,input,item,response_time,trial_number,trial_type
15,depati,489534,1644245402046,1644244912512,NA,2,13276,1,training 1a
15,runiso,489534,1644245402046,1644244912512,NA,8,7589,2,training 1a
15,rururu,489534,1644245402046,1644244912512,NA,17,11746,3,training 1a
15,deka,489534,1644245402046,1644244912512,NA,16,7276,4,training 1a
15,nikamapa,489534,1644245402046,1644244912512,NA,4,11148,5,training 1a
15,nidema,489534,1644245402046,1644244912512,NA,12,7576,6,training 1a
15,mapagu,489534,1644245402046,1644244912512,NA,20,8111,7,training 1a
15,depati,489534,1644245402046,1644244912512,NA,2,8259,1,training 1b
15,deka,489534,1644245402046,1644244912512,NA,16,6785,2,training 1b
15,nidema,489534,1644245402046,1644244912512,NA,12,12485,3,training 1b
15,rururu,489534,1644245402046,1644244912512,NA,17,8269,4,training 1b
15,runiso,489534,1644245402046,1644244912512,NA,8,9896,5,training 1b
15,mapagu,489534,1644245402046,1644244912512,NA,20,9460,6,training 1b
15,nikamapa,489534,1644245402046,1644244912512,NA,4,9431,7,training 1b
15,sodeni,489534,1644245402046,1644244912512,tigu,9,4564,1,testing 1
15,nigutide,489534,1644245402046,1644244912512,tikamapi,23,5220,2,testing 1
15,dekama,489534,1644245402046,1644244912512,magusa,21,5602,3,testing 1
15,rukadema,489534,1644245402046,1644244912512,marosa,19,3720,4,testing 1
15,maru,489534,1644245402046,1644244912512,manipa,3,3647,5,testing 1
15,masorude,489534,1644245402046,1644244912512,tika,27,3408,6,testing 1
15,sogusoni,489534,1644245402046,1644244912512,NA,7,10427,1,training 2a
15,deka,489534,1644245402046,1644244912512,NA,16,6816,2,training 2a
15,nidema,489534,1644245402046,1644244912512,NA,12,11938,3,training 2a
15,runiso,489534,1644245402046,1644244912512,NA,8,7012,4,training 2a
15,pakade,489534,1644245402046,1644244912512,NA,10,8151,5,training 2a
15,ninirude,489534,1644245402046,1644244912512,NA,15,6833,6,training 2a
15,kapadeni,489534,1644245402046,1644244912512,NA,22,6816,7,training 2a
15,ninirude,489534,1644245402046,1644244912512,NA,15,7404,1,training 2b
15,deka,489534,1644245402046,1644244912512,NA,16,7097,2,training 2b
15,pakade,489534,1644245402046,1644244912512,NA,10,7089,3,training 2b
15,sogusoni,489534,1644245402046,1644244912512,NA,7,7572,4,training 2b
15,nidema,489534,1644245402046,1644244912512,NA,12,6682,5,training 2b
15,kapadeni,489534,1644245402046,1644244912512,NA,22,6885,6,training 2b
15,runiso,489534,1644245402046,1644244912512,NA,8,6523,7,training 2b
15,masorude,489534,1644245402046,1644244912512,tirade,27,4845,1,testing 2
15,nigutide,489534,1644245402046,1644244912512,tikamapi,23,5175,2,testing 2
15,deruru,489534,1644245402046,1644244912512,maru,1,5331,3,testing 2
15,maru,489534,1644245402046,1644244912512,masako,3,7651,4,testing 2
15,maka,489534,1644245402046,1644244912512,makamipa,13,5648,5,testing 2
15,papama,489534,1644245402046,1644244912512,takanime,24,6795,6,testing 2
15,demaparu,489534,1644245402046,1644244912512,tigu,25,3587,1,final
15,deka,489534,1644245402046,1644244912512,tika,16,3478,2,final
15,sodeni,489534,1644245402046,1644244912512,gude,9,10765,3,final
15,kapadeni,489534,1644245402046,1644244912512,makamipa,22,4908,4,final
15,depati,489534,1644245402046,1644244912512,tirami,2,4283,5,final
15,ninirude,489534,1644245402046,1644244912512,gudemata,15,5943,6,final
15,runiso,489534,1644245402046,1644244912512,rudeni,8,7054,7,final
15,pakade,489534,1644245402046,1644244912512,marako,10,5767,8,final
15,nigutide,489534,1644245402046,1644244912512,tiranika,23,7820,9,final
15,maka,489534,1644245402046,1644244912512,marakapa,13,4621,10,final
15,dekama,489534,1644245402046,1644244912512,gudesu,21,6311,11,final
15,maru,489534,1644245402046,1644244912512,guta,3,4196,12,final
15,makapaso,489534,1644245402046,1644244912512,tisamagu,14,7054,13,final
15,magu,489534,1644245402046,1644244912512,tidepati,5,9799,14,final
15,nidema,489534,1644245402046,1644244912512,nidema,12,6433,15,final
15,sotideso,489534,1644245402046,1644244912512,rururu,26,6708,16,final
15,rururu,489534,1644245402046,1644244912512,rururu,17,3643,17,final
15,rugugu,489534,1644245402046,1644244912512,tikamu,11,12688,18,final
15,mapagu,489534,1644245402046,1644244912512,tikabu,20,5772,19,final
15,masorude,489534,1644245402046,1644244912512,tirade,27,5467,20,final
15,deniru,489534,1644245402046,1644244912512,gudetami,18,10215,21,final
15,deruru,489534,1644245402046,1644244912512,marogu,1,5174,22,final
15,papapa,489534,1644245402046,1644244912512,gudejima,6,9980,23,final
15,nikamapa,489534,1644245402046,1644244912512,papuka,4,5273,24,final
15,papama,489534,1644245402046,1644244912512,guderaka,24,5843,25,final
15,rukadema,489534,1644245402046,1644244912512,maruso,19,5981,26,final
15,sogusoni,489534,1644245402046,1644244912512,tigu,7,4050,27,final
